 

stn    time           gre000z0  prestas0  ure200s0
THU    202405020520         44     935.3      92.2
THU    202405020530         52     935.3      92.4
THU    202405020540         76     935.1      92.1
THU    202405020550         96     935.1      87.8
THU    202405020600         94     935.0      84.6
THU    202405020610        106     935.0      83.7
THU    202405020620        173     934.8      82.6
THU    202405020630        201     934.8      79.1
THU    202405020640        190     934.8      77.1
THU    202405020650        138     934.8      75.6
THU    202405020700        168     934.7      75.1
THU    202405020710        202     934.8      75.9
THU    202405020720        214     934.8      73.4
THU    202405020730        227     934.8      71.3
THU    202405020740        180     934.9      71.4
THU    202405020750        171     934.9      69.9
THU    202405020800        136     934.9      70.9
THU    202405020810        146     934.9      71.7
THU    202405020820        148     935.0      72.0
THU    202405020830         92     935.0      72.8
THU    202405020840         93     935.0      73.6
THU    202405020850         97     935.0      73.6
THU    202405020900        112     935.0      74.4
THU    202405020910         50     935.1      80.5
THU    202405020920         47     935.2      90.6
THU    202405020930         87     935.4      96.0
THU    202405020940        172     935.3      98.1
THU    202405020950        257     935.4      97.3
THU    202405021000        215     935.7      94.3
THU    202405021010        202     935.7      87.1
THU    202405021020        175     935.7      80.6
THU    202405021030        131     935.7      79.6
THU    202405021040        158     935.8      77.2
THU    202405021050        170     935.9      79.8
THU    202405021100        221     936.1      79.8
THU    202405021110        246     936.1      78.9
THU    202405021120        291     936.1      80.7
THU    202405021130        595     936.1      81.5
THU    202405021140        270     936.3      78.6
THU    202405021150        148     936.6      79.1
THU    202405021200        142     936.8      79.6
THU    202405021210        130     936.9      82.9
THU    202405021220         76     937.1      81.9
THU    202405021230         65     937.3      83.0
THU    202405021240         46     937.5      82.7
THU    202405021250         27     937.8      84.1
THU    202405021300         29     938.0      85.6
THU    202405021310         30     938.1      87.6
THU    202405021320         47     938.3      87.8
THU    202405021330         71     938.4      86.8
THU    202405021340         66     938.5      85.9
THU    202405021350         67     938.6      86.1
THU    202405021400         65     938.7      87.1
THU    202405021410         78     938.8      88.2
THU    202405021420         96     939.0      91.0
THU    202405021430         96     939.2      94.7
THU    202405021440        100     939.2      96.9
THU    202405021450         97     939.4      98.3
THU    202405021500         90     939.5      98.1
THU    202405021510         80     939.7      97.3
THU    202405021520         82     939.8      95.8
THU    202405021530         86     940.0      95.2
THU    202405021540        115     940.1      98.3
THU    202405021550         86     940.3      98.9
THU    202405021600         93     940.4      98.9
THU    202405021610         95     940.5      96.8
THU    202405021620        101     940.4      99.0
THU    202405021630         93     940.6      99.2
THU    202405021640         92     940.8      97.7
THU    202405021650         84     940.9      97.4
THU    202405021700         69     941.1      97.5
THU    202405021710         49     941.3      91.9
THU    202405021720         47     941.5      93.7
THU    202405021730         36     941.7      94.4
THU    202405021740         18     941.8      97.5
THU    202405021750         14     941.9      94.8
THU    202405021800         12     942.1      90.1
THU    202405021810         10     942.3      93.5
THU    202405021820          6     942.5      95.7
THU    202405021830          1     942.7      94.0
THU    202405021840          0     942.8      93.4
THU    202405021850          0     943.1      96.4
THU    202405021900          0     943.2      99.0
THU    202405021910          0     943.3      97.7
THU    202405021920          0     943.4      97.8
THU    202405021930          0     943.6      98.6
THU    202405021940          0     943.8      99.2
THU    202405021950          0     943.8      99.3
THU    202405022000          0     944.0      99.3
THU    202405022010          0     944.1      99.3
THU    202405022020          0     944.1      99.3
THU    202405022030          0     944.3      99.3
THU    202405022040          0     944.5      99.3
THU    202405022050          0     944.6      99.3
THU    202405022100          0     944.6      99.3
THU    202405022110          0     944.8      99.2
THU    202405022120          0     944.9      99.3
THU    202405022130          0     945.0      99.3
THU    202405022140          0     945.1      99.3
THU    202405022150          0     945.3      99.3
THU    202405022200          0     945.4      99.3
THU    202405022210          0     945.6      99.3
THU    202405022220          0     945.7      99.3
THU    202405022230          0     945.7      99.3
THU    202405022240          0     945.8      99.3
THU    202405022250          0     945.9      99.3
THU    202405022300          0     945.9      99.3
THU    202405022310          0     946.0      99.3
THU    202405022320          0     946.1      99.2
THU    202405022330          0     946.2      99.2
THU    202405022340          0     946.3      99.3
THU    202405022350          0     946.3      99.3
THU    202405030000          0     946.4      99.3
THU    202405030010          0     946.4      99.3
THU    202405030020          0     946.5      99.3
THU    202405030030          0     946.6      99.3
THU    202405030040          0     946.8      99.3
THU    202405030050          0     947.0      99.3
THU    202405030100          0     947.1      99.3
THU    202405030110          0     947.2      99.3
THU    202405030120          0     947.2      99.3
THU    202405030130          0     947.3      99.3
THU    202405030140          0     947.3      99.3
THU    202405030150          0     947.5      99.3
THU    202405030200          0     947.6      99.3
THU    202405030210          0     947.7      99.3
THU    202405030220          0     947.8      99.3
THU    202405030230          0     947.7      97.7
THU    202405030240          0     947.7      82.2
THU    202405030250          0     947.8      81.2
THU    202405030300          0     947.9      79.7
THU    202405030310          0     948.0      84.3
THU    202405030320          0     948.2      96.6
THU    202405030330          0     948.2      99.2
THU    202405030340          0     948.2      99.2
THU    202405030350          0     948.3      99.1
THU    202405030400          0     948.2      98.1
THU    202405030410          0     948.3      98.8
THU    202405030420          0     948.4      97.7
THU    202405030430          0     948.5      97.1
THU    202405030440          0     948.7      96.6
THU    202405030450          1     948.8      95.1
THU    202405030500          4     948.8      91.8
THU    202405030510          8     948.9      93.1
THU    202405030520         12     949.1      92.9
THU    202405030530         17     949.2      91.7
THU    202405030540         22     949.2      93.5
THU    202405030550         21     949.3      92.9
THU    202405030600         25     949.3      93.6
THU    202405030610         29     949.4      94.2
THU    202405030620         30     949.5      93.5
THU    202405030630         41     949.5      92.7
THU    202405030640         54     949.5      93.3
THU    202405030650         70     949.5      96.5
THU    202405030700         95     949.5      92.8
THU    202405030710        152     949.5      91.8
THU    202405030720        179     949.5      90.2
THU    202405030730        154     949.6      87.2
THU    202405030740        148     949.6      85.7
THU    202405030750        145     949.7      87.1
THU    202405030800        155     949.7      86.6
THU    202405030810        175     949.8      85.8
THU    202405030820        212     949.9      86.0
THU    202405030830        207     950.0      84.8
THU    202405030840        217     950.0      84.1
THU    202405030850        278     950.0      85.0
THU    202405030900        346     950.0      83.5
THU    202405030910        384     950.0      82.4
THU    202405030920        406     950.0      80.9
THU    202405030930        365     950.0      80.3
THU    202405030940        429     950.0      76.9
THU    202405030950        642     950.0      74.3
THU    202405031000        689     950.0      73.2
THU    202405031010        494     949.9      72.8
THU    202405031020        428     949.9      72.3
THU    202405031030        302     949.8      73.1
THU    202405031040        231     949.8      73.5
THU    202405031050        333     949.7      72.5
THU    202405031100        377     949.7      71.4
THU    202405031110        347     949.7      70.5
THU    202405031120        392     949.7      68.6
THU    202405031130        385     949.6      66.8
THU    202405031140        282     949.5      66.9
THU    202405031150        279     949.5      66.1
THU    202405031200        226     949.5      66.2
THU    202405031210        232     949.5      65.9
THU    202405031220        252     949.5      66.6
THU    202405031230        193     949.5      66.3
THU    202405031240        138     949.5      67.1
THU    202405031250        131     949.4      66.4
THU    202405031300        123     949.4      67.2
THU    202405031310        127     949.3      72.5
THU    202405031320        133     949.3      74.9
THU    202405031330        155     949.3      76.8
THU    202405031340        163     949.3      82.2
THU    202405031350        157     949.3      81.4
THU    202405031400        131     949.3      75.1
THU    202405031410        108     949.3      73.9
THU    202405031420         88     949.4      72.2
THU    202405031430         62     949.5      71.9
THU    202405031440         47     949.5      74.6
THU    202405031450         57     949.6      75.6
THU    202405031500         62     949.6      75.3
THU    202405031510         62     949.7      75.8
THU    202405031520         57     949.8      75.8
THU    202405031530         41     949.8      84.5
THU    202405031540         35     949.8      88.6
THU    202405031550         30     949.8      92.8
THU    202405031600         30     949.8      94.5
THU    202405031610         37     949.8      97.0
THU    202405031620         36     949.9      98.7
THU    202405031630         43     950.1      94.8
THU    202405031640         45     950.2      84.1
THU    202405031650         36     950.2      78.7
THU    202405031700         27     950.3      79.8
THU    202405031710         21     950.4      83.9
THU    202405031720         15     950.4      90.5
THU    202405031730         11     950.5      91.3
THU    202405031740         13     950.6      95.4
THU    202405031750         15     950.7      97.1
THU    202405031800         11     950.8      98.8
THU    202405031810          8     950.9      99.2
THU    202405031820          8     951.0      99.2
THU    202405031830          6     951.1      99.2
THU    202405031840          2     951.1      99.2
THU    202405031850          0     951.2      99.2
THU    202405031900          0     951.2      98.9
THU    202405031910          0     951.1      98.2
THU    202405031920          0     951.2      97.6
THU    202405031930          0     951.1      96.9
THU    202405031940          0     951.2      95.2
THU    202405031950          0     951.3      95.0
THU    202405032000          0     951.4      95.4
THU    202405032010          0     951.3      95.9
THU    202405032020          0     951.3      96.1
THU    202405032030          0     951.4      98.0
THU    202405032040          0     951.3      98.2
THU    202405032050          0     951.2      98.8
THU    202405032100          0     951.3      98.1
THU    202405032110          0     951.3      97.3
THU    202405032120          0     951.3      98.8
THU    202405032130          0     951.3      99.2
THU    202405032140          0     951.3      99.3
THU    202405032150          0     951.3      99.3
THU    202405032200          0     951.3      99.3
THU    202405032210          0     951.2      99.3
THU    202405032220          0     951.2      99.3
THU    202405032230          0     951.1      99.3
THU    202405032240          0     951.0      99.3
THU    202405032250          0     950.9      99.3
THU    202405032300          0     950.9      99.3
THU    202405032310          0     950.9      99.3
THU    202405032320          0     950.9      99.3
THU    202405032330          0     950.8      99.3
THU    202405032340          0     950.8      99.3
THU    202405032350          0     950.7      99.3
THU    202405040000          0     950.6      99.3
THU    202405040010          0     950.6      99.3
THU    202405040020          0     950.6      99.3
THU    202405040030          0     950.6      99.3
THU    202405040040          0     950.5      99.3
THU    202405040050          0     950.5      99.3
THU    202405040100          0     950.4      99.3
THU    202405040110          0     950.4      99.3
THU    202405040120          0     950.3      99.2
THU    202405040130          0     950.4      99.2
THU    202405040140          0     950.4      99.3
THU    202405040150          0     950.2      99.3
THU    202405040200          0     950.1      99.3
THU    202405040210          0     950.1      99.3
THU    202405040220          0     950.0      99.3
THU    202405040230          0     949.8      99.3
THU    202405040240          0     949.8      99.3
THU    202405040250          0     949.7      99.3
THU    202405040300          0     949.7      99.3
THU    202405040310          0     949.7      99.3
THU    202405040320          0     949.6      99.3
THU    202405040330          0     949.5      99.3
THU    202405040340          0     949.5      99.3
THU    202405040350          0     949.6      99.3
THU    202405040400          0     949.7      99.3
THU    202405040410          0     949.8      99.3
THU    202405040420          3     949.8      99.3
THU    202405040430          7     949.8      99.3
THU    202405040440         14     949.7      99.3
THU    202405040450         50     949.6      99.3
THU    202405040500         68     949.7      99.3
THU    202405040510        113     949.6      99.3
THU    202405040520        123     949.7      99.3
THU    202405040530        172     949.7      99.3
THU    202405040540        153     949.7      99.3
THU    202405040550        127     949.7      99.3
THU    202405040600        156     949.6      99.0
THU    202405040610        148     949.5      93.2
THU    202405040620        167     949.6      92.3
THU    202405040630        196     949.6      98.1
THU    202405040640        265     949.6      94.5
THU    202405040650        275     949.6      90.2
THU    202405040700        362     949.6      85.0
THU    202405040710        407     949.6      80.3
THU    202405040720        323     949.6      80.0
THU    202405040730        293     949.6      79.0
THU    202405040740        348     949.6      81.4
THU    202405040750        507     949.6      80.8
THU    202405040800        532     949.5      81.5
THU    202405040810        560     949.5      76.3
THU    202405040820        519     949.5      77.0
THU    202405040830        652     949.4      75.9
THU    202405040840        641     949.4      74.5
THU    202405040850        541     949.4      73.4
THU    202405040900        634     949.4      71.7
THU    202405040910        671     949.3      72.4
THU    202405040920        741     949.3      73.3
THU    202405040930        794     949.2      70.5
THU    202405040940        848     949.3      65.1
THU    202405040950        743     949.2      62.9
THU    202405041000        740     949.1      59.4
THU    202405041010        786     949.1      57.8
THU    202405041020        811     949.1      57.1
THU    202405041030        790     949.1      58.3
THU    202405041040        697     949.0      57.1
THU    202405041050        464     949.0      52.8
THU    202405041100        456     949.0      50.3
THU    202405041110        770     948.8      51.2
THU    202405041120        943     948.7      47.3
THU    202405041130        713     948.7      53.2
THU    202405041140        545     948.6      54.5
THU    202405041150        907     948.5      53.2
THU    202405041200        980     948.3      51.8
THU    202405041210        973     948.2      53.3
THU    202405041220        961     948.1      52.5
THU    202405041230        966     948.0      53.3
THU    202405041240        923     948.0      51.9
THU    202405041250        898     947.9      53.9
THU    202405041300        776     947.9      52.6
THU    202405041310        899     947.8      51.5
THU    202405041320        849     947.8      48.7
THU    202405041330        482     947.7      51.4
THU    202405041340        540     947.6      52.0
THU    202405041350        842     947.6      52.0
THU    202405041400        692     947.5      51.1
THU    202405041410        433     947.5      51.2
THU    202405041420        306     947.5      52.7
THU    202405041430        252     947.5      53.9
THU    202405041440        366     947.5      55.5
THU    202405041450        286     947.6      54.5
THU    202405041500        368     947.5      54.3
THU    202405041510        222     947.5      53.5
THU    202405041520        312     947.4      53.5
THU    202405041530        378     947.3      53.1
THU    202405041540        379     947.3      53.1
THU    202405041550        394     947.2      53.0
THU    202405041600        366     947.1      53.5
THU    202405041610        260     946.9      53.8
THU    202405041620        332     946.8      53.7
THU    202405041630        207     946.8      53.7
THU    202405041640        323     946.6      52.8
THU    202405041650        255     946.7      54.0
THU    202405041700        234     946.8      54.1
THU    202405041710        197     946.8      54.9
THU    202405041720        179     946.8      53.7
THU    202405041730         83     946.9      56.5
THU    202405041740         56     947.0      57.4
THU    202405041750         37     947.2      58.4
THU    202405041800         22     947.2      66.8
THU    202405041810         20     947.3      68.9
THU    202405041820         13     947.2      81.6
THU    202405041830          6     947.1      83.7
THU    202405041840          1     947.1      87.7
THU    202405041850          0     947.1      87.4
THU    202405041900          0     947.1      84.7
THU    202405041910          0     947.2      86.2
THU    202405041920          0     947.3      81.2
THU    202405041930          0     947.4      89.9
THU    202405041940          0     947.5      86.6
THU    202405041950          0     947.5      88.7
THU    202405042000          0     947.5      95.6
THU    202405042010          0     947.5      97.8
THU    202405042020          0     947.6      98.9
THU    202405042030          0     947.7      98.4
THU    202405042040          0     947.7      97.6
THU    202405042050          0     947.7      99.2
THU    202405042100          0     947.7      99.2
THU    202405042110          0     947.8      99.2
THU    202405042120          0     947.7      99.2
THU    202405042130          0     947.8      99.2
THU    202405042140          0     947.7      98.3
THU    202405042150          0     947.8      99.0
THU    202405042200          0     947.8      96.7
THU    202405042210          0     947.8      96.9
THU    202405042220          0     947.8      99.2
THU    202405042230          0     947.9      99.1
THU    202405042240          0     947.9      93.1
THU    202405042250          0     947.9      87.4
THU    202405042300          0     947.9      87.6
THU    202405042310          0     948.0      96.3
THU    202405042320          0     948.0      98.4
THU    202405042330          0     948.1      98.6
THU    202405042340          0     948.1      98.2
THU    202405042350          0     948.1      99.2
THU    202405050000          0     948.0      99.2
THU    202405050010          0     948.0      99.2
THU    202405050020          0     948.0      99.2
THU    202405050030          0     948.0      99.2
THU    202405050040          0     947.9      99.2
THU    202405050050          0     947.9      98.5
THU    202405050100          0     947.9      98.0
THU    202405050110          0     948.1      98.8
THU    202405050120          0     948.1      96.3
THU    202405050130          0     948.1      98.3
THU    202405050140          0     948.2      99.2
THU    202405050150          0     948.3      99.3
THU    202405050200          0     948.3      99.3
THU    202405050210          0     948.2      99.3
THU    202405050220          0     948.1      99.3
THU    202405050230          0     948.0      99.3
THU    202405050240          0     948.1      99.3
THU    202405050250          0     948.1      99.3
THU    202405050300          0     948.1      99.3
THU    202405050310          0     948.0      99.3
THU    202405050320          0     948.0      99.3
THU    202405050330          0     947.9      99.3
THU    202405050340          0     947.9      99.3
THU    202405050350          0     948.0      99.3
THU    202405050400          0     948.1      99.0
THU    202405050410          0     948.0      97.3
THU    202405050420          0     947.8      98.6
THU    202405050430          2     947.9      97.8
THU    202405050440          6     948.1      99.2
THU    202405050450          8     948.3      99.0
THU    202405050500          8     948.4      99.2
