 

stn    time           wkcap2d0  wkcap3d0  wkcap1d0  wkwtg1d0  wkwtp1d0  wkwtg2d0  wkwtp2d0  wkwtg3d0  wkwtp3d0  wkwtg0d0
RHW    20240819             13        22         1         6         5         6        13         6        13         5
RHW    20240820              1         3         6         3         6        11        14        11        14         1
RHW    20240821              1         3         1         1         5         9        13         9        13         1
RHW    20240822              1         3         2         1        10         9        18         9        26         1
RHW    20240823              1         4         2         1         1         9         9         9         9         1
RHW    20240824              4         4         2         2         2        10        10        10        10         2
RHW    20240825              9         5         4         2         5        10        13        10        13         2
RHW    20240826              9         5         4         2         6        10        14        10        14         2
RHW    20240827              6         7         4         7         6         7        14         7        14         5
RHW    20240828              6         1         3         7         7        15        15        15        15         3
RHW    20240829              2         1         1        10        10        18        18        26        26         1
RHW    20240830              2         7         1        10         5        18        13        26        13         2
RHW    20240831              6         7         4        10         6        18        14        26        14         8
RHW    20240901              6         7         1        10         6        18        14        26        14         8
RHW    20240902              1         3         2         2        10         2        18        18        26         2
RHW    20240903              1         1         1         2        10        10        18        10        26         2
RHW    20240904              1         3         1         8         6        16        14        16        14         8
RHW    20240905              7        14         6         8         8         8         8         8         8         7
RHW    20240906              7         4         2         2         8         2        16         2        16         2
RHW    20240907              7         4         2         2         8        10        16        10        16         2
RHW    20240908              7         4         2         2         2        10        10        10        10         2
RHW    20240909             16        15         7         1         3         1         3         1         3         1
RHW    20240910              8        10         6         3         4        11        12        11        12         3
RHW    20240911              8         6         6         1         3         9         3         9         3         1
RHW    20240912             13        10         6         2         5         2         5         2         5         2
RHW    20240913              9        22         1         9         5        17         5        25         5         5
RHW    20240914              9         5         4         4         5         4        13         4        13         4
RHW    20240915              9         5         1         4         5         4        13         4        21         4
RHW    20240916              9        22         1         5         5         5         5         5         5         5
RHW    20240917              3         9         4         6         6         6         6         6         6         5
RHW    20240918              3         9         4         6         6         6         6         6         6         6
RHW    20240919              6         7         4         6         6         6         6         6         6         4
RHW    20240920              5         2         4         7         7         7        15         7        23         8
RHW    20240921              5         2         3         2         7         2        15         2        15         2
RHW    20240922              4         1         3         2         8        10        16        10        16         2
RHW    20240923              7         4         2         2         2        10        10        18        10         2
RHW    20240924             11        21         2         2         1         2         9         2         9         1
RHW    20240925             11         4         2         1         2         9        10        17        10         1
RHW    20240926             14        24         7         1         2         9        10         9        10         2
RHW    20240927             14        19         7         2         1        10         9        18        17         2
RHW    20240928              9         5         1         2         4         2         4         2         4         1
RHW    20240929              3         8         5         3         6         3        14         3        14         3
RHW    20240930              4        17         3         1         2         1        10        17        10         1
RHW    20241001              4         4         2         1         2         9        10        17        10         1
RHW    20241002              8         6         6         1         9         1        17         1        25         1
RHW    20241003             13        23         6         2         6         2         6         2         6         8
