"Log_NR","UHI_mean","UHI_max","UHI_min","AT_mean","AT_max","AT_min","AT_LCD_mean","AT_LCD_max","AT_LCD_min","NORD_CHTOPO","OST_CHTOPO","LV_03_N","LV_03_E","LU_7","Location"
"401",0,0,0,15.8120923913043,21.1875,8.7,16.1272876917404,21.5224418885583,8.99532851402558,46.74982,7.58521,1177635.984,2611199.79,"low green","Referenz 3m"
"402",-0.141600085734184,0.20675656773734,-0.525887884336614,15.8120923913043,21.1875,8.7,15.9856876060062,21.6542448691539,8.77369122097607,46.74982,7.58521,1177635.984,2611199.79,"low green","Referenz 2m"
"403",0.98114808172709,2.29302805752651,-0.19302026906742,15.8683673469388,21.1875,8.7,17.1927163349274,22.3040248849215,9.16138958826073,46.75077,7.60025,1177744.305,2612349.203,"forest","Burgerwald"
"404",1.37942053048127,3.10331152564787,-0.111341585921009,15.4157894736842,21.1875,8.7,17.0377895670046,22.9684472037842,9.63559548332952,46.74515,7.60521,1177120,2612729,"dense urban","Stockhorn Arena"
"405",0.536254360069878,1.81530066631062,-0.302553819841814,15.8120923913043,21.1875,8.7,16.6635420518102,22.0090091808448,9.23654821850919,46.75718,7.60421,1178458,2612650,"low green","Thunerallmend"
"406",1.89177303790917,3.55635506472368,0.268801976043337,15.8120923913043,21.1875,8.7,18.0190607296495,23.7416631698075,9.86936051982401,46.76261,7.60603,1179061,2612788,"dense urban","KVA Parkplatz"
"407",1.45486089714245,2.98340263472445,0.0270370794232093,15.8120923913043,21.1875,8.7,17.5821485888828,23.2742777396302,9.45833015437044,46.76181,7.60933,1178973,2613040,"low green","KVA Grünfläche"
"408",1.4120778162607,2.99836760255334,0.0579350092825717,15.8120923913043,21.1875,8.7,17.5393655080011,23.1272093792121,9.55810031535312,46.76604,7.60234,1179442,2612505,"green urban","Lerchenfeld"
"409",1.60884364450326,3.81704591694006,-0.08818760967422,16.317246835443,21.1875,10.7375,18.2484555334821,23.4710142163221,12.6608555224943,46.76011,7.62234,1178786,2614034,"green urban","Scheibenstrasse"
"410",0.693221181269075,3.34838651738257,-0.871506319778238,15.8120923913043,21.1875,8.7,16.8205088730094,22.5006278451718,8.24062682790366,46.76289,7.63818,1179098,2615244,"green urban","Lauenenweg"
"411",1.75977551177111,3.94817018895755,-0.0611394038808761,15.8120923913043,21.1875,8.7,17.8870632035115,23.9431617329163,9.47693344523283,46.76149,7.63146,1178942,2614731,"dense urban","Spital"
"412",2.83441646013888,5.29176283029424,0.757722495613033,15.8120923913043,21.1875,8.7,18.9617041518792,24.738585933725,10.6078232687368,46.75875,7.62995,1178637,2614616,"dense urban","Innenstadt"
