"term","estimate","std.error","statistic","p.value","significant"
"AD",0.0198560892026061,0.0849887232151251,0.233632044951963,0.815282146276032,FALSE
"GA_25",18.9953853235745,17.0892171441429,1.11154215920798,0.266399304363633,FALSE
"BUL_250",55.0751633853206,57.3473675796529,0.960378230244373,0.33692071881436,FALSE
"AC_750",34.4643036344449,26.4320494858673,1.30388313826638,0.192345592394617,FALSE
"FO_1000",7.35784263215147,89.2281011466625,0.0824610468854148,0.934284061083779,FALSE
"TPI_500",2412.90717601761,3829.3632248653,0.630106635053529,0.528659435058279,FALSE
"VH_150",3.94374180081464,2.02703127072992,1.94557521522326,0.0517730722368538,FALSE
"WA_150",16.6232349612133,31.2220296143724,0.532420062581749,0.594463534873357,FALSE
"WS",-0.0126552226667765,0.0437812833884927,-0.289055543540844,0.772553279896248,FALSE
"PP_bool",-0.459892512850498,0.145560076585377,-3.15946874746765,0.00159190661730394,TRUE
"GR_1d",0.00673243459110357,0.00129118692051277,5.21414404386154,1.93641563487432e-07,TRUE
"CAP272",0.0130994744731018,0.235900755413345,0.0555295995137823,0.955719216610552,FALSE
"CAP273",-0.0710075341318355,0.186972987325676,-0.379774293321592,0.704132356965475,FALSE
"CAP274",-0.0535064805901452,0.185810804816951,-0.287962159374189,0.773390053147759,FALSE
"CAP275",-0.293543888958643,0.277738436076616,-1.05690769021853,0.290615104204318,FALSE
"CAP276",0.0466925071592913,0.21449127261734,0.217689543213221,0.827681690666227,FALSE
"CAP277",0.278838137226628,0.252075443622437,1.10616938016492,0.268717192773092,FALSE
"CAP278",-0.0192410521102809,0.527483532897288,-0.0364770668850957,0.970903715110427,FALSE
"CAP279",-0.386621821826358,0.324681875777383,-1.19077118456542,0.233811381134765,FALSE
"CAP2710",-0.616634989283824,0.313006419714661,-1.97003943192588,0.0489000978446427,TRUE
"CAP2712",-0.479778432047242,0.372070198172937,-1.28948363616116,0.197301706300098,FALSE
"CAP2714",-0.338612013192076,0.352808476490568,-0.959761558339795,0.337231024787295,FALSE
"CAP2715",0.427817268939592,0.417078735269166,1.02574701791856,0.305070500025934,FALSE
"CAP2717",0.0850407478204129,0.306332219893285,0.277609543815006,0.781325903222891,FALSE
"CAP2718",-0.186744021498999,0.89817104506449,-0.207915878078202,0.835304831409333,FALSE
"CAP2719",0.44303769750079,0.373358036332763,1.18662960051012,0.235441532710734,FALSE
"CAP2721",0.425726490359458,0.384901270127586,1.10606673295294,0.268761610597429,FALSE
"CAP2722",-0.868179504262953,0.354623552010015,-2.44817215140419,0.0143993401795735,TRUE
"CAP2723",-0.59449289078971,0.684863600053999,-0.868045682005638,0.385419408622673,FALSE
"CAP2724",2.0334203510223,0.607350216212173,3.34801947335101,0.000821148668678897,TRUE
"RH_1d",-0.00919030897355536,0.0132551525421963,-0.693338605066902,0.488135798500634,FALSE
"WT",0.17983772395318,0.0284094296726694,6.33021239867371,2.7074833275171e-10,TRUE
"AT",-0.144504149255066,0.0216569277476506,-6.67242145048676,2.84713681315643e-11,TRUE
"WD_8E",-1.38909090586435,0.768320111630279,-1.80795853816305,0.0706851635082227,FALSE
"WD_8SE",-0.557914533679568,0.524513320617053,-1.06368039046791,0.287535263940455,FALSE
"WD_8S",-0.341495954617666,0.485389413794106,-0.703550479085072,0.481752143956492,FALSE
"WD_8SW",0.380203178757041,0.489398919870509,0.776877846108937,0.437275024856811,FALSE
"WD_8W",-0.402025585432667,0.490303509983408,-0.819952493194005,0.412290177763277,FALSE
"WD_8NW",-0.54201530567537,0.484488682704905,-1.11873677347692,0.263317062423961,FALSE
"PA_1d",0.0216719899401432,0.021236491012101,1.02050710391816,0.307547378806451,FALSE
"AD:WS",0.000424577943838215,0.000188151893609166,2.25657013434135,0.0240866497984656,TRUE
"GA_25:WS",-0.0645154555446845,0.0381026114446643,-1.69320298789439,0.0904917245750492,FALSE
"BUL_250:WS",-0.169358744321094,0.124960343305552,-1.35529992828988,0.175395616600706,FALSE
"AC_750:WS",-0.029458268891046,0.0589936560098809,-0.499346385416628,0.61756179552551,FALSE
"FO_1000:WS",-0.00704576639554183,0.190155724235698,-0.0370526126618655,0.970444833934091,FALSE
"TPI_500:WS",-3.24561252219743,8.22062703543027,-0.394813255510692,0.693000957174739,FALSE
"VH_150:WS",-0.00600428218232297,0.00504030437970024,-1.19125388667104,0.233621908759852,FALSE
"WA_150:WS",0.0274492240100658,0.0698660134332197,0.392883787999478,0.694425451567833,FALSE
"AD:PP_bool",-0.000114206818665393,0.000655293722331669,-0.174283401127393,0.861651226270816,FALSE
"GA_25:PP_bool",0.0605958665786609,0.123639265496622,0.490102123587239,0.624087487498503,FALSE
"BUL_250:PP_bool",-0.207091235961379,0.411955212925302,-0.50270327808409,0.615199521798786,FALSE
"AC_750:PP_bool",0.414668987440312,0.191933943601049,2.16047760839133,0.0307926491772326,TRUE
"FO_1000:PP_bool",-0.614629960319657,0.628312152707374,-0.978223893444109,0.328020497876299,FALSE
"TPI_500:PP_bool",-36.988987841415,27.2516174200217,-1.35731348606998,0.174755272645727,FALSE
"VH_150:PP_bool",-0.0136553594322646,0.0162980252838048,-0.837853616893931,0.402161067399269,FALSE
"WA_150:PP_bool",-0.113901884189893,0.22569552354745,-0.50467055083592,0.613816985478225,FALSE
"AD:GR_1d",2.61367506158733e-05,5.40679240284176e-06,4.83405847099586,1.3860598009554e-06,TRUE
"GA_25:GR_1d",-0.00205156623007249,0.00109627886189839,-1.87139084896689,0.0613610752481888,FALSE
"BUL_250:GR_1d",-0.000389347540551361,0.00367614713560337,-0.105911849060812,0.915657400526,FALSE
"AC_750:GR_1d",-0.00696447644043866,0.00169958400504397,-4.097753579564,4.25129143604873e-05,TRUE
"FO_1000:GR_1d",-0.0011108530469467,0.00567219583113537,-0.195841800956359,0.844743558641402,FALSE
"TPI_500:GR_1d",-0.179685661448794,0.242888440849407,-0.739786796030368,0.459471126888185,FALSE
"VH_150:GR_1d",-3.60782519860043e-05,0.000135871246665488,-0.265532648528854,0.790612322908423,FALSE
"WA_150:GR_1d",-0.000607037971955932,0.001991640377167,-0.304792963084737,0.76053909201586,FALSE
"AD:CAP272",0.000883573074361416,0.000968376344554206,0.912427362905246,0.36159667592878,FALSE
"AD:CAP273",-0.000292783179319137,0.000781160932347651,-0.374805199793114,0.707824457024251,FALSE
"AD:CAP274",0.000145110246390642,0.00079079265191759,0.1834997404677,0.854414867473521,FALSE
"AD:CAP275",-0.000813163933430397,0.00110731118529111,-0.734358998836105,0.462771368091566,FALSE
"AD:CAP276",-0.000949828453714169,0.00085405690135862,-1.11213720327439,0.266143443572386,FALSE
"AD:CAP277",0.000753484904578333,0.00103748961011293,0.726257783435843,0.467721623485518,FALSE
"AD:CAP278",0.00808143980349082,0.0105951560384538,0.762748540385835,0.445656633879257,FALSE
"AD:CAP279",-0.00163208564325433,0.00137331523596172,-1.18842753689498,0.234732868799921,FALSE
"AD:CAP2710",-0.00311655758488897,0.00131523415004771,-2.36958383781011,0.0178535119522626,TRUE
"AD:CAP2712",0.00380384374196467,0.0015920704687844,2.3892433259371,0.0169274147794689,TRUE
"AD:CAP2714",-0.000180227629141886,0.00134573641845647,-0.133924910309407,0.893468431998482,FALSE
"AD:CAP2715",-0.00136360999097684,0.00184421625321798,-0.7393980985676,0.459707025848183,FALSE
"AD:CAP2717",0.00335118707319232,0.00131269838067209,2.55289952553804,0.0107184356171847,TRUE
"AD:CAP2718",0.000347177278498572,0.00300263935201468,0.115624035322666,0.90795609524147,FALSE
"AD:CAP2719",0.0014941144822796,0.00177526946015269,0.841626871760129,0.40004523219468,FALSE
"AD:CAP2721",0.00233716810956804,0.00152431040792768,1.53326258051695,0.125287231017336,FALSE
"AD:CAP2722",-0.00423215166843608,0.00131193002803661,-3.22589740153274,0.00126550989256924,TRUE
"AD:CAP2723",-0.0010172119074884,0.00298145228910102,-0.341180005196433,0.732985309503715,FALSE
"AD:CAP2724",-0.0011703808880793,0.0076675920040073,-0.152639953647459,0.878689620107489,FALSE
"GA_25:CAP272",-0.0907846145406106,0.199151538684629,-0.455856957672693,0.648516642836277,FALSE
"GA_25:CAP273",-0.110188807987886,0.157460155979376,-0.699788510322054,0.484098529338173,FALSE
"GA_25:CAP274",-0.0124627885915275,0.158398452654297,-0.078679989499187,0.937290947304105,FALSE
"GA_25:CAP275",-0.0275724124431617,0.230779933569384,-0.119474912817202,0.904904884790356,FALSE
"GA_25:CAP276",-0.0716319808514749,0.177782102875521,-0.40292008977771,0.68702772155493,FALSE
"GA_25:CAP277",-0.124218998445978,0.213897950527954,-0.580739544906222,0.561447470942943,FALSE
