Stationsnummer: 2030
Stationsname: Thun
DBLH-Nr: 00111
Gewässer: Aare
Exportperiode: 2024-05-01 - 2024-09-30
Parameter: Pegel
Parametereinheit: m ü.M.
Zeitreihe: 10-Min-Mittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 07:20:00;;548.921;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 07:30:00;;548.934;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 07:40:00;;548.971;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 07:50:00;;548.983;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 08:00:00;;548.985;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 08:10:00;;548.983;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 08:20:00;;548.976;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 08:30:00;;548.986;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 08:40:00;;548.987;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 08:50:00;;548.985;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 09:00:00;;548.984;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 09:10:00;;548.984;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 09:20:00;;548.984;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 09:30:00;;548.984;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 09:40:00;;548.984;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 09:50:00;;548.984;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 10:00:00;;548.983;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 10:10:00;;548.984;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 10:20:00;;548.984;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 10:30:00;;548.984;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 10:40:00;;548.983;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 10:50:00;;548.982;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 11:00:00;;548.984;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 11:10:00;;548.982;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 11:20:00;;548.982;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 11:30:00;;548.982;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 11:40:00;;548.982;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 11:50:00;;548.984;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 12:00:00;;548.983;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 12:10:00;;548.983;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 12:20:00;;548.983;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 12:30:00;;548.982;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 12:40:00;;548.983;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 12:50:00;;548.982;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 13:00:00;;548.982;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 13:10:00;;548.982;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 13:20:00;;548.983;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 13:30:00;;548.983;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 13:40:00;;548.982;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 13:50:00;;548.982;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 14:00:00;;548.982;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 14:10:00;;548.982;Freigegeben, geprüfte Daten
