Stationsnummer: 2030
Stationsname: Thun
DBLH-Nr: 00111
Gewässer: Aare
Exportperiode: 2024-05-01 - 2024-09-30
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: 10-Min-Mittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 05:00:00;;149.933;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 05:10:00;;149.484;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 05:20:00;;149.432;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 05:30:00;;149.748;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 05:40:00;;149.801;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 05:50:00;;149.827;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 06:00:00;;149.801;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 06:10:00;;149.775;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 06:20:00;;149.827;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 06:30:00;;149.854;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 06:40:00;;149.827;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 06:50:00;;149.642;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 07:00:00;;149.748;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 07:10:00;;149.669;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 07:20:00;;149.669;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 07:30:00;;151.046;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 07:40:00;;154.993;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 07:50:00;;156.310;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 08:00:00;;156.472;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 08:10:00;;156.256;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 08:20:00;;155.529;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 08:30:00;;156.607;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 08:40:00;;156.661;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 08:50:00;;156.472;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 09:00:00;;156.418;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 09:10:00;;156.391;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 09:20:00;;156.418;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 09:30:00;;156.337;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 09:40:00;;156.391;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 09:50:00;;156.364;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 10:00:00;;156.283;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 10:10:00;;156.337;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 10:20:00;;156.391;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 10:30:00;;156.337;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 10:40:00;;156.229;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 10:50:00;;156.202;Freigegeben, geprüfte Daten
Thun;2030;Abfluss;10-Min-Mittel;m3/s;Aare;2024-05-01 11:00:00;;156.364;Freigegeben, geprüfte Daten
