term,estimate,std.error,statistic,p.value,significant
FO_500:GWT26_Z5006,-0.72978451,2.770865667,-0.263377802,0.79227913,FALSE
GA_1000:GWT26_Z50026,0.26771597,1.035667245,0.258496125,0.796043384,FALSE
SLO:GWT26_Z50011,-0.007660667,0.029668638,-0.258207564,0.796266042,FALSE
BH_25:WD_L_8_3dSW,-0.014339447,0.056222448,-0.255048436,0.798704761,FALSE
NDVI:GWT26_Z50010,0.218831163,0.861896637,0.253894903,0.799595734,FALSE
SLO:GWT26_Z50010,0.006238055,0.025595535,0.243716545,0.807468538,FALSE
GA_1000:PP_bool_1d,-0.074586458,0.307501682,-0.242556261,0.808367256,FALSE
GWT26_Z50024,-1.019859294,4.287778562,-0.237852604,0.812013137,FALSE
GA_1000:WD_8SE,-0.293463011,1.234680613,-0.237683339,0.812144413,FALSE
SLO:GWT26_Z5009,0.005932816,0.025344458,0.234087329,0.814934608,FALSE
SE_50:WD_8NW,-0.131878525,0.572316387,-0.230429406,0.817775253,FALSE
BH_25:GWT26_Z50019,0.01072545,0.047696154,0.224870321,0.822096865,FALSE
DEM_150:WD_L_8_3dS,0.000573441,0.002551927,0.224708876,0.822222454,FALSE
SE_50:WD_L_8E,0.154257458,0.686817912,0.224597313,0.822309241,FALSE
GA_1000:WD_L_8SW,0.329049738,1.501174573,0.219194852,0.826514533,FALSE
SLO:GWT26_Z5006,-0.006613566,0.030632555,-0.215899902,0.829081785,FALSE
GA_1000:WD_L_8NW,0.326788898,1.521216014,0.214820837,0.829922935,FALSE
SLO:WD_8S,0.008327746,0.038969884,0.213696971,0.830799215,FALSE
SE_50:WD_L_8S,-0.164832202,0.779562761,-0.211441863,0.832558161,FALSE
GWT26_Z5006,0.228639144,1.086867683,0.210365206,0.833398231,FALSE
WD_L_8_3dE,-0.295738153,1.414729244,-0.209042228,0.834430756,FALSE
SLO:GWT26_Z50016,-0.011248885,0.053822574,-0.208999387,0.834464197,FALSE
SLO:GWT26_Z50019,-0.007815092,0.037431179,-0.208785614,0.834631065,FALSE
BH_25:GWT26_Z50024,-0.029672191,0.142148191,-0.208741252,0.834665694,FALSE
SLO:WD_L_8_3dE,0.007299359,0.035042029,0.208302974,0.835007835,FALSE
GA_1000:WD_L_8W,0.301947499,1.481387068,0.203827552,0.838503343,FALSE
DEM_150:WD_8S,-0.000523339,0.002570102,-0.20362555,0.838661192,FALSE
DEM_150:WD_8W,-0.000489446,0.002444527,-0.200220928,0.841322605,FALSE
FO_500:GWT26_Z50017,0.469140031,2.35424888,0.199273762,0.842063335,FALSE
SE_50:WD_L_8SW,0.144462346,0.725345671,0.19916345,0.842149613,FALSE
FO_500:GWT26_Z50024,0.916835936,4.610749959,0.198847464,0.842396766,FALSE
DEM_150:WD_8SE,-0.000535724,0.002695366,-0.198757492,0.842467142,FALSE
NDVI:WD_L_8SE,-0.337590817,1.746471752,-0.193298756,0.846739276,FALSE
NDVI:WD_L_8_3dSW,0.269408384,1.396945104,0.192855384,0.847086469,FALSE
FO_500:GWT26_Z50026,-0.600193714,3.219060414,-0.186449969,0.852105662,FALSE
SLO:GWT26_Z50026,0.006695482,0.036565866,0.183107438,0.854727218,FALSE
NDVI:GWT26_Z5009,0.150577477,0.846877814,0.177803073,0.85889073,FALSE
GA_1000:WD_8NW,0.187966144,1.066223248,0.176291546,0.860077884,FALSE
GWT26_Z5007,0.223023566,1.26662108,0.176077573,0.860245964,FALSE
SE_50:GWT26_Z50026,-0.089627527,0.511286673,-0.175297992,0.860858395,FALSE
FO_500:PP_1d,0.009450281,0.054257189,0.174175655,0.861740238,FALSE
FO_500:GWT26_Z50010,-0.400327226,2.301165817,-0.173967136,0.861904095,FALSE
BH_25:PP_1d,-0.000151667,0.000879688,-0.172410625,0.863127407,FALSE
BH_25,0.027218595,0.162633284,0.167361772,0.867097708,FALSE
SLO:WD_L_8_3dS,-0.006196666,0.038161672,-0.162379308,0.871019095,FALSE
NDVI:GWT26_Z5004,0.23214353,1.432555062,0.162048591,0.871279494,FALSE
SE_50:GWT26_Z50024,-0.109373934,0.686779213,-0.159256326,0.873478623,FALSE
DEM_150:GWT26_Z5008,0.000336687,0.002167278,0.155350129,0.876556699,FALSE
SLO:WD_8SE,0.006428513,0.041403431,0.155265227,0.876623623,FALSE
GA_1000:GWT26_Z50017,0.111663983,0.72246053,0.154560669,0.877179021,FALSE
GWT26_Z5004,0.233239531,1.521632211,0.153282462,0.878186777,FALSE
BH_25:WD_L_8_3dSE,0.00842632,0.055108299,0.15290473,0.878484624,FALSE
FO_500:GWT26_Z50025,0.395445971,2.611793364,0.151407832,0.879665117,FALSE
SE_50:WD_8SW,-0.092370313,0.61484855,-0.150232627,0.880592103,FALSE
SE_50:WD_L_8NE,-0.119103975,0.810983505,-0.146863622,0.883250431,FALSE
GA_1000,0.305624481,2.253113448,0.135645403,0.892111539,FALSE
SLO:WD_L_8_3dW,-0.004570208,0.034028598,-0.134304929,0.893171284,FALSE
BH_25:GWT26_Z5004,-0.007064715,0.052655737,-0.134168005,0.893279543,FALSE
