term,estimate,std.error,statistic,p.value,significant
DEM_150:WD_L_8_3dNW,-0.002307057,0.002462347,-0.936934176,0.348874691,FALSE
NDVI:WD_L_8_3dW,1.24153973,1.325604954,0.936583502,0.349055082,FALSE
GA_1000:GWT26_Z5004,-1.009402043,1.080408534,-0.934278109,0.350242479,FALSE
DEM_150:GWT26_Z50019,0.002111518,0.002288597,0.922625502,0.35628334,FALSE
NDVI:GWT26_Z5008,1.101810583,1.197577712,0.920032639,0.357636399,FALSE
BH_25:WD_8NW,-0.053100247,0.057917126,-0.916831521,0.359311326,FALSE
DEM_150:GWT26_Z5002,-0.001396417,0.001540535,-0.906449324,0.36477749,FALSE
SLO:GR_3d,8.78179377350413e-05,9.69190880749663e-05,0.906095378,0.364964753,FALSE
GWT26_Z50011,-0.91656728,1.013296339,-0.904540207,0.365788258,FALSE
NDVI:WD_L_8_3dS,1.31613736,1.472619691,0.893738803,0.371539866,FALSE
WD_8W,1.176155655,1.32460401,0.887930013,0.374656052,FALSE
SE_50:AT,-0.027564724,0.03140719,-0.877656485,0.380206834,FALSE
SLO:WD_L_8SW,0.042096483,0.048694699,0.864498261,0.387389635,FALSE
