 

stn    time           rre150z0
THU    202405010000        0.0
THU    202405010010        0.0
THU    202405010020        0.0
THU    202405010030        0.0
THU    202405010040        0.0
THU    202405010050        0.0
THU    202405010100        0.0
THU    202405010110        0.0
THU    202405010120        0.0
THU    202405010130        0.0
THU    202405010140        0.0
THU    202405010150        0.0
THU    202405010200        0.0
THU    202405010210        0.0
THU    202405010220        0.0
THU    202405010230        0.0
THU    202405010240        0.0
THU    202405010250        0.0
THU    202405010300        0.0
THU    202405010310        0.0
THU    202405010320        0.0
THU    202405010330        0.0
THU    202405010340        0.0
THU    202405010350        0.0
THU    202405010400        0.0
THU    202405010410        0.0
THU    202405010420        0.0
THU    202405010430        0.0
THU    202405010440        0.0
THU    202405010450        0.0
THU    202405010500        0.0
THU    202405010510        0.0
THU    202405010520        0.0
THU    202405010530        0.0
THU    202405010540        0.0
THU    202405010550        0.0
THU    202405010600        0.0
THU    202405010610        0.0
THU    202405010620        0.0
THU    202405010630        0.0
THU    202405010640        0.0
THU    202405010650        0.0
THU    202405010700        0.0
THU    202405010710        0.0
THU    202405010720        0.0
THU    202405010730        0.0
THU    202405010740        0.0
THU    202405010750        0.0
THU    202405010800        0.0
THU    202405010810        0.0
THU    202405010820        0.0
THU    202405010830        0.0
THU    202405010840        0.0
THU    202405010850        0.0
THU    202405010900        0.0
THU    202405010910        0.0
THU    202405010920        0.0
THU    202405010930        0.0
THU    202405010940        0.0
THU    202405010950        0.0
THU    202405011000        0.0
THU    202405011010        0.0
THU    202405011020        0.0
THU    202405011030        0.0
THU    202405011040        0.0
THU    202405011050        0.0
THU    202405011100        0.0
THU    202405011110        0.0
THU    202405011120        0.0
THU    202405011130        0.0
THU    202405011140        0.0
THU    202405011150        0.0
THU    202405011200        0.0
THU    202405011210        0.0
THU    202405011220        0.0
THU    202405011230        0.0
THU    202405011240        0.0
THU    202405011250        0.0
THU    202405011300        0.0
THU    202405011310        0.0
THU    202405011320        0.0
THU    202405011330        0.0
THU    202405011340        0.0
THU    202405011350        0.0
THU    202405011400        0.0
THU    202405011410        0.0
THU    202405011420        0.0
THU    202405011430        0.0
THU    202405011440        0.0
THU    202405011450        0.0
THU    202405011500        0.0
THU    202405011510        0.0
THU    202405011520        0.0
THU    202405011530        0.0
THU    202405011540        0.0
THU    202405011550        0.0
THU    202405011600        0.0
THU    202405011610        0.0
THU    202405011620        0.0
THU    202405011630        0.0
THU    202405011640        0.0
THU    202405011650        0.0
THU    202405011700        0.0
THU    202405011710        0.0
THU    202405011720        0.0
THU    202405011730        0.0
THU    202405011740        0.0
THU    202405011750        0.0
THU    202405011800        0.0
THU    202405011810        0.0
THU    202405011820        0.0
THU    202405011830        0.0
THU    202405011840        0.0
THU    202405011850        0.0
THU    202405011900        0.0
THU    202405011910        0.0
THU    202405011920        0.0
THU    202405011930        0.0
THU    202405011940        0.0
THU    202405011950        0.0
THU    202405012000        0.0
THU    202405012010        0.0
THU    202405012020        0.0
THU    202405012030        0.0
THU    202405012040        0.0
THU    202405012050        0.0
THU    202405012100        0.0
THU    202405012110        0.0
THU    202405012120        0.0
THU    202405012130        0.0
THU    202405012140        0.0
THU    202405012150        0.0
THU    202405012200        0.0
THU    202405012210        0.0
THU    202405012220        0.0
THU    202405012230        0.0
THU    202405012240        0.0
THU    202405012250        0.0
THU    202405012300        0.0
THU    202405012310        0.0
THU    202405012320        0.0
THU    202405012330        0.0
THU    202405012340        0.0
THU    202405012350        0.0
THU    202405020000        0.0
THU    202405020010        0.0
THU    202405020020        0.0
THU    202405020030        0.0
THU    202405020040        0.0
THU    202405020050        0.0
THU    202405020100        0.0
THU    202405020110        0.0
THU    202405020120        0.0
THU    202405020130        0.0
THU    202405020140        0.0
THU    202405020150        0.0
THU    202405020200        0.0
THU    202405020210        0.0
THU    202405020220        0.0
THU    202405020230        0.0
THU    202405020240        0.0
THU    202405020250        0.0
THU    202405020300        0.0
THU    202405020310        0.0
THU    202405020320        0.0
THU    202405020330        0.0
THU    202405020340        0.0
THU    202405020350        0.0
THU    202405020400        0.0
THU    202405020410        0.0
THU    202405020420        0.0
THU    202405020430        0.0
THU    202405020440        0.0
THU    202405020450        0.0
THU    202405020500        0.0
THU    202405020510        0.0
THU    202405020520        0.0
THU    202405020530        0.0
THU    202405020540        0.0
THU    202405020550        0.0
THU    202405020600        0.0
THU    202405020610        0.0
THU    202405020620        0.0
THU    202405020630        0.0
THU    202405020640        0.0
THU    202405020650        0.0
THU    202405020700        0.0
THU    202405020710        0.0
THU    202405020720        0.0
THU    202405020730        0.0
THU    202405020740        0.0
THU    202405020750        0.0
THU    202405020800        0.0
THU    202405020810        0.0
THU    202405020820        0.0
THU    202405020830        0.0
THU    202405020840        0.0
THU    202405020850        0.0
THU    202405020900        0.0
THU    202405020910        0.0
THU    202405020920        0.3
THU    202405020930        1.3
THU    202405020940        0.6
THU    202405020950        0.0
THU    202405021000        0.0
THU    202405021010        0.0
THU    202405021020        0.0
THU    202405021030        0.0
THU    202405021040        0.0
THU    202405021050        0.0
THU    202405021100        0.2
THU    202405021110        0.0
THU    202405021120        0.0
THU    202405021130        0.3
THU    202405021140        0.0
THU    202405021150        0.0
THU    202405021200        0.0
THU    202405021210        0.0
THU    202405021220        0.0
THU    202405021230        0.0
THU    202405021240        0.0
THU    202405021250        0.0
THU    202405021300        0.0
THU    202405021310        0.0
THU    202405021320        0.0
THU    202405021330        0.0
THU    202405021340        0.0
THU    202405021350        0.0
THU    202405021400        0.0
THU    202405021410        0.2
THU    202405021420        0.3
THU    202405021430        0.5
THU    202405021440        0.5
THU    202405021450        0.3
THU    202405021500        0.3
THU    202405021510        0.3
THU    202405021520        0.3
THU    202405021530        0.1
THU    202405021540        0.2
THU    202405021550        0.1
THU    202405021600        0.0
THU    202405021610        0.0
THU    202405021620        0.0
THU    202405021630        0.1
THU    202405021640        0.0
THU    202405021650        0.1
THU    202405021700        0.0
THU    202405021710        0.1
