time,Log_NR,valid_hours,T_mean,H_mean,UHI_mean,HI_mean,T_min,H_min,UHI_min,HI_min,T_max,H_max,UHI_max,HI_max,valid_hours_night,T_min_night,Tropical_night,Gfroerli_night,T_mean_night,UHI_night,valid_hours_day,T_mean_day,T_max_day,Summer_day,Hot_day,Very_hot_day,UHI_day
2024-04-30T22:00:00Z,Log_404,19,16.613949423034967,47.1503856918561,NA,15.561754385964912,8.812466620889602,36.39528496223392,NA,7.47,22.289616235599297,66.30296787975891,NA,21.55,NA,NA,NA,NA,NA,NA,14,18.26447699702449,22.289616235599297,0,0,0,NA
2024-04-30T22:00:00Z,Log_406,22,15.904609149402008,50.080335860319835,NA,14.858143939393939,8.60151064316777,34.678644998855574,NA,7.29,23.91050583657588,67.970016021973,NA,23.26,NA,NA,NA,NA,NA,NA,16,17.362041752498666,23.91050583657588,0,0,0,NA
2024-04-30T22:00:00Z,Log_408,23,15.55935040795769,51.5370805289352,NA,14.516239130434782,8.417257953765166,34.07400625619898,NA,7.13,23.31235217822538,70.26459143968872,NA,22.59,10,11.17837796597238,0,0,12.875683477022456,NA,16,17.20840883370209,23.31235217822538,0,0,0,NA
2024-04-30T22:00:00Z,Log_410,20,15.693122949568933,51.22702245619389,NA,14.6553,10.470740825513085,36.46395056076906,NA,9.17,21.910429541466385,61.021438925764855,NA,21.13,NA,NA,NA,NA,NA,NA,15,16.930497698430862,21.910429541466385,0,0,0,NA
2024-04-30T22:00:00Z,Log_413,22,15.016908903639276,52.203906194006905,NA,13.937378787878789,9.618905928130005,37.01899748226139,NA,8.41,20.727473868925003,69.78965438315404,NA,19.82,NA,NA,NA,NA,NA,NA,15,16.25061417563134,20.727473868925003,0,0,0,NA
2024-04-30T22:00:00Z,Log_416,19,15.52826633418061,52.416203876594665,NA,14.504263157894737,9.373235675593191,34.856031128404666,NA,8.23,22.36438544289311,72.70984969863432,NA,21.57,NA,NA,NA,NA,NA,NA,15,16.872667277027542,22.36438544289311,0,0,0,NA
2024-04-30T22:00:00Z,Log_421,22,15.777796851555149,50.19056495372586,NA,14.721757575757575,8.678950179293508,35.92988479438468,NA,7.42,22.380407415884648,70.0166323338674,NA,21.61,NA,NA,NA,NA,NA,NA,15,17.582479251968838,22.380407415884648,0,0,0,NA
2024-04-30T22:00:00Z,Log_424,19,15.94109682920202,50.787135975285736,NA,14.917192982456141,7.434576943617912,38.31219958800641,NA,6.12,21.47783627069505,72.48859388113222,NA,20.72,NA,NA,NA,NA,NA,NA,14,17.91657129777981,21.47783627069505,0,0,0,NA
2024-04-30T22:00:00Z,Log_427,23,15.760093345407864,49.7564107242175,NA,14.690449275362319,9.335851071946289,34.19035629816129,NA,8.02,22.981231403067056,67.26619363698786,NA,22.25,10,11.66437781338216,0,0,13.285751411459525,NA,16,17.27634088654917,22.981231403067056,0,0,0,NA
2024-04-30T22:00:00Z,Log_428,22,15.753814466477547,49.74828596100626,NA,14.683272727272726,9.218356603341723,34.47837033646143,NA,7.89,23.106736858167395,65.7727168688487,NA,22.37,NA,NA,NA,NA,NA,NA,16,17.023332792909642,23.106736858167395,0,0,0,NA
2024-04-30T22:00:00Z,Log_430,23,15.081150629766372,53.54427631877203,NA,14.042608695652174,7.132829785610745,35.826886396581976,NA,5.85,22.67681391622797,74.49706263828489,NA,21.94,10,10.8632791638056,0,0,12.506588400600188,NA,16,16.83873796762544,22.67681391622797,0,0,0,NA
2024-04-30T22:00:00Z,Log_431,19,15.472936652304448,52.51609358331359,NA,14.447298245614034,8.841840238040739,37.41000991836423,NA,7.6,22.580682078278784,70.7681391622797,NA,21.88,NA,NA,NA,NA,NA,NA,15,17.01911404423421,22.580682078278784,0,0,0,NA
2024-04-30T22:00:00Z,Log_433,22,15.559679537420438,53.8378136480391,NA,14.576628787878787,9.020752269779509,36.45441367208362,NA,7.7,23.315022507057293,66.36209658960861,NA,22.72,NA,NA,NA,NA,NA,NA,16,17.216547773454387,23.315022507057293,0,0,0,NA
2024-04-30T22:00:00Z,Log_436,22,15.599613091315998,51.84260261114232,NA,14.568636363636363,8.791103990234227,35.52552071412222,NA,7.52,22.877088578622107,68.90272373540856,NA,22.23,NA,NA,NA,NA,NA,NA,16,17.01949975839882,22.877088578622107,0,0,0,NA
2024-05-01T22:00:00Z,Log_411,24,11.679734058560735,67.20408464942398,NA,10.658423611111111,8.684290836957352,51.69245441367208,NA,7.6,15.360112916762034,77.02624551766232,NA,14.52,10,7.525368123903256,0,1,8.434537206581725,NA,16,11.818633808906183,15.360112916762034,0,0,0,NA
2024-05-01T22:00:00Z,Log_412,24,12.44444020582725,63.90359662563685,NA,11.412951388888889,9.79247730220493,49.41504539559014,NA,8.74,15.952925917448688,73.04936293583582,NA,15.23,10,8.532082093537802,0,1,9.458892036062156,NA,16,12.388042490018057,15.952925917448688,0,0,0,NA
2024-05-01T22:00:00Z,Log_430,24,11.58254336105389,70.13858529793241,NA,10.627777777777778,8.71099412527657,56.87861448081178,NA,7.71,15.498970016021971,81.41321431296254,NA,14.75,NA,NA,NA,NA,NA,NA,16,11.98428877063147,15.498970016021971,0,0,0,NA
2024-05-01T22:00:00Z,Log_437,24,11.419707079762299,66.99472477598908,NA,10.366409722222222,8.516060120546271,56.932021057450214,NA,7.42,15.498970016021971,77.17502098115511,NA,14.68,10,7.287708857862214,0,1,8.296314310419369,NA,16,11.653693716461941,15.498970016021971,0,0,0,NA
2024-05-02T22:00:00Z,Log_411,24,9.552051278790808,69.99362723904953,NA,8.390131944444445,7.525368123903256,54.776684214541845,NA,6.32,13.450827801937898,80.12573434042878,NA,12.31,10,5.979247730220493,0,1,7.524800679026474,NA,16,10.20039228402126,13.450827801937898,0,0,0,NA
