hour,Log_NR,T_mean,H_mean,UHI_mean,HI_mean
0,Log_401,14.42827994794978,79.25150308177746,0,14.00133234126984
0,Log_402,14.333223743760392,80.96030615256103,-0.12946458847265666,13.94765483234714
0,Log_403,17.07101015083149,75.38043598177657,1.0091102718649065,16.80162441314554
0,Log_404,15.147333948318154,73.55252133868522,1.1724517935374026,14.638472943722943
0,Log_405,14.98221269281345,79.14545213828264,0.544432364385443,14.602486274509804
0,Log_406,16.20254961003978,71.61901033196403,1.7700513084611276,15.748176413255361
0,Log_407,15.788836174204175,73.12287822926531,1.3539297014741911,15.332779411764706
0,Log_408,15.750540237787911,74.0035277192923,1.317173340369438,15.313431773879142
0,Log_409,16.27331734978234,82.34226964960419,1.3786636144882916,16.106294964028777
0,Log_410,14.926272183551074,76.8510801741922,0.4847846888431118,14.481038235294118
0,Log_411,15.821234692327677,72.68939965865314,1.5907352835211042,15.356979742173113
0,Log_412,17.616282935081067,67.3304086874698,2.698858412037291,17.19721935483871
0,Log_413,15.989229451923139,72.71760673774531,1.5537268571501233,15.542543604651163
0,Log_414,16.90771289661878,72.15619436288615,2.110624051609403,16.539690949227374
0,Log_416,16.256058275619168,74.47316210423416,1.7781344344341583,15.881681459566074
0,Log_417,14.68400184033052,75.74089512916095,1.1043412825571213,14.185525252525252
0,Log_418,15.952259116038615,75.77904058825463,1.5249225392707884,15.581688109161794
0,Log_420,16.01185642587267,73.5494132068888,1.3942969008290735,15.58890890269151
0,Log_421,15.587679788834063,76.44675699209192,1.151092927443351,15.198217054263566
0,Log_422,16.001642301138755,74.5478538125509,1.5481120139365734,15.603788954635109
0,Log_423,15.676672331541365,74.79900555348087,1.242040936564855,15.252856725146199
0,Log_424,14.62212644194017,80.40426796338433,0.18442249900392485,14.23936862745098
0,Log_425,15.298316112987663,77.72872349033942,0.7779617699472944,14.913294949494949
0,Log_426,14.683838357735462,71.55885367828567,0.08313653043304849,14.076340860215053
0,Log_427,16.150202743033585,71.61901476085971,1.670524740297882,15.691592156862745
0,Log_428,16.118365467473147,72.00199058524264,1.681491495214601,15.666618217054264
0,Log_429,15.732542108168513,74.6075059801902,1.2787386621431736,15.309375490196079
0,Log_430,14.881078046922534,79.67291635899511,0.5039099720753806,14.504959064327485
0,Log_431,15.639855712394544,74.46916524013086,1.1831573380000509,15.203909181636726
0,Log_432,15.23079191144681,74.65732040222055,0.7815004199295081,14.758549603174604
0,Log_433,14.943465361053592,75.51496098018245,0.5097612704831177,14.465260233918128
