hour,Log_NR,T_mean,H_mean,UHI_mean,HI_mean,T_mean_95,T_mean_5,UHI_mean_95,UHI_mean_5
0,Log_401,16.117685700883612,78.69571602960251,0,15.839874074074075,16.117685700883612,16.117685700883612,0,0
0,Log_402,16.084936997846132,80.29788531196176,-0.07751420643196032,15.845553113553114,16.084936997846132,16.084936997846132,-0.07751420643196032,-0.07751420643196032
0,Log_403,18.16683050552357,76.04411899200467,1.012451685997254,18.02430769230769,18.16683050552357,18.16683050552357,1.012451685997254,1.012451685997254
0,Log_404,16.820517511735392,72.50671940733423,1.287174453006451,16.45169298245614,16.820517511735392,16.820517511735392,1.287174453006451,1.287174453006451
0,Log_405,16.8069469631612,78.09754203986293,0.6515300701632433,16.58227106227106,16.8069469631612,16.8069469631612,0.6515300701632433,0.6515300701632433
0,Log_406,18.14673799281261,70.33050077259279,2.0005900861569588,17.853278388278387,18.14673799281261,18.14673799281261,2.0005900861569588,2.0005900861569588
0,Log_407,17.68654349897197,71.92301550970583,1.5402916592490865,17.388736263736263,17.68654349897197,17.68654349897197,1.5402916592490865,1.5402916592490865
0,Log_408,17.63110629865036,72.94148570333051,1.4835906880406002,17.35451282051282,17.63110629865036,17.63110629865036,1.4835906880406002,1.4835906880406002
0,Log_409,17.68175353549581,80.65436442959904,1.5356808914659679,17.61157509157509,17.68175353549581,17.68175353549581,1.5356808914659679,1.5356808914659679
0,Log_410,16.638359224763438,76.23246896284205,0.48313122193682195,16.34826007326007,16.638359224763438,16.638359224763438,0.48313122193682195,0.48313122193682195
0,Log_411,17.940286360977595,71.46867429002928,1.794193447662968,17.65620879120879,17.940286360977595,17.940286360977595,1.794193447662968,1.794193447662968
0,Log_412,19.034542610818647,67.38255415904763,2.891420191076863,18.76235347985348,19.034542610818647,19.034542610818647,2.891420191076863,2.891420191076863
0,Log_413,17.905843520686734,71.7597589968842,1.7621099412527654,17.625906593406594,17.905843520686734,17.905843520686734,1.7621099412527654,1.7621099412527654
0,Log_414,18.51096399848975,70.87534007916247,2.3692586517241283,18.27095238095238,18.51096399848975,18.51096399848975,2.3692586517241283,2.3692586517241283
0,Log_416,18.172186813466283,73.07809062964705,2.0253920014467814,17.9532326007326,18.172186813466283,18.172186813466283,2.0253920014467814,2.0253920014467814
0,Log_417,16.350053600547255,74.04852282753986,1.196532146111273,15.973887005649717,16.350053600547255,16.350053600547255,1.196532146111273,1.196532146111273
0,Log_418,17.87888444812226,74.57931463516266,1.7363917075693225,17.669527472527474,17.87888444812226,17.87888444812226,1.7363917075693225,1.7363917075693225
0,Log_420,17.80167868803712,72.10452625627723,1.654772612316291,17.520146520146522,17.80167868803712,17.80167868803712,1.654772612316291,1.654772612316291
0,Log_421,17.523607467530564,75.24730207357811,1.3747441288087507,17.296424908424907,17.523607467530564,17.523607467530564,1.3747441288087507,1.3747441288087507
0,Log_422,17.873166227480716,73.60537262894782,1.7291412702853155,17.637934065934065,17.873166227480716,17.873166227480716,1.7291412702853155,1.7291412702853155
0,Log_423,17.63252362703038,73.50622881098963,1.484089149422559,17.370622710622712,17.63252362703038,17.63252362703038,1.484089149422559,1.484089149422559
0,Log_424,16.300073067239467,80.06233534020213,0.14057698882983052,16.076102564102563,16.300073067239467,16.300073067239467,0.14057698882983052,0.14057698882983052
0,Log_425,16.97775508487342,76.78662507605057,0.8256008946308022,16.736043956043957,16.97775508487342,16.97775508487342,0.8256008946308022,0.8256008946308022
0,Log_426,16.29839555297326,70.71368247987611,0.1521409961880703,15.830148351648353,16.29839555297326,16.29839555297326,0.1521409961880703,0.1521409961880703
0,Log_427,18.039926795820595,70.49027090632721,1.8938135262751883,17.741490842490844,18.039926795820595,18.039926795820595,1.8938135262751883,1.8938135262751883
0,Log_428,18.096360723277638,70.63107206366533,1.952407463922303,17.807333333333332,18.096360723277638,18.096360723277638,1.952407463922303,1.952407463922303
0,Log_429,17.62913436351294,73.2776089783414,1.4804940956062491,17.36084249084249,17.62913436351294,17.62913436351294,1.4804940956062491,1.4804940956062491
0,Log_430,16.527058978945377,79.71663784406975,0.3998492385776645,16.316644444444446,16.527058978945377,16.527058978945377,0.3998492385776645,0.3998492385776645
0,Log_431,17.552469027119976,73.06679972198397,1.406062635459141,17.271236263736263,17.552469027119976,17.552469027119976,1.406062635459141,1.406062635459141
0,Log_432,17.05035985859973,73.79357157187705,0.8932624988962926,16.737527777777778,17.05035985859973,17.05035985859973,0.8932624988962926,0.8932624988962926
0,Log_433,16.722273085628544,75.05591767785634,0.5636900977425124,16.409945054945055,16.722273085628544,16.722273085628544,0.5636900977425124,0.5636900977425124
0,Log_434,17.101463029367967,74.32557878317778,0.997496334548626,16.807962962962964,17.101463029367967,17.101463029367967,0.997496334548626,0.997496334548626
0,Log_435,16.973581840198914,82.98903495350051,0.8216136980804715,16.893404761904762,16.973581840198914,16.973581840198914,0.8216136980804715,0.8216136980804715
0,Log_436,17.72482799365381,71.19464244841906,1.57674164780482,17.411822344322346,17.72482799365381,17.72482799365381,1.57674164780482,1.57674164780482
0,Log_437,17.310920177708915,72.60812288598967,1.1601930972706127,16.99342490842491,17.310920177708915,17.310920177708915,1.1601930972706127,1.1601930972706127
0,Log_438,17.6579406580551,72.53827932450042,1.5080133177352217,17.373102564102563,17.6579406580551,17.6579406580551,1.5080133177352217,1.5080133177352217
1,Log_401,15.569379169739664,80.21308129102628,0,15.283938888888889,15.569379169739664,15.569379169739664,0,0
1,Log_402,15.520880895508958,81.74407029099179,-0.06961745066956022,15.27534065934066,15.520880895508958,15.520880895508958,-0.06961745066956022,-0.06961745066956022
1,Log_403,17.842181711638396,76.8853287153599,1.0072137290930208,17.6891875,17.842181711638396,17.842181711638396,1.0072137290930208,1.0072137290930208
1,Log_404,16.426660542155137,73.9603504941589,1.265417621661958,16.05605707762557,16.426660542155137,16.426660542155137,1.265417621661958,1.265417621661958
1,Log_405,16.2151414491767,79.84926936952571,0.6234263427232831,15.977527472527473,16.2151414491767,16.2151414491767,0.6234263427232831,0.6234263427232831
1,Log_406,17.517263393323894,72.06153129936223,1.9478842235842309,17.205951851851854,17.517263393323894,17.517263393323894,1.9478842235842309,1.9478842235842309
1,Log_407,17.11126467947251,73.46559083575563,1.516718589727287,16.79632783882784,17.11126467947251,17.11126467947251,1.516718589727287,1.516718589727287
1,Log_408,17.0119832772423,74.63170867136306,1.442604107502635,16.71772962962963,17.0119832772423,17.0119832772423,1.442604107502635,1.442604107502635
